73	53	93	54
6	9	74	93
72	58	3	27
68	57	73	61
88	31	10	7
63	29	87	51
59	24	3	75
55	72	43	40
33	76	95	90
41	16	86	89
40	90	81	90
28	19	3	17
13	35	90	15
34	30	21	70
24	72	14	3
86	14	60	26
8	81	57	99
71	18	78	47
84	33	56	56
79	38	71	78
20	13	99	35
53	38	32	98
19	93	26	69
32	53	66	92
5	61	92	27
10	100	25	39
36	40	58	29
79	86	75	69
75	18	73	73
44	62	27	98
80	45	2	62
99	22	67	33
24	89	29	90
56	71	23	15
90	64	27	26
71	51	35	53
62	78	23	64
70	14	27	3
57	72	1	6
29	40	32	61
40	20	85	78
8	91	67	77
15	29	69	72
24	21	5	55
40	91	15	13
23	20	41	77
73	81	28	84
63	7	100	8
84	4	65	37
73	47	97	14
55	25	36	37
24	23	6	24
71	57	52	47
57	78	94	76
22	67	59	49
37	10	44	41
43	23	79	17
26	47	22	72
59	51	79	8
30	45	86	9
27	60	48	12
19	44	74	63
49	92	33	46
74	15	60	100
34	65	97	75
3	51	51	30
22	16	93	42
62	78	65	14
31	69	1	75
86	55	34	34
33	31	14	25
58	25	75	12
51	68	18	43
63	83	19	51
50	1	92	55
65	15	75	93
68	35	4	10
26	63	81	92
72	98	66	87
95	86	94	45
88	28	93	76
43	56	97	55
61	73	87	68
11	23	18	46
71	6	21	43
90	75	76	10
74	14	7	6
24	58	74	59
68	55	58	64
25	78	49	18
91	41	54	10
65	15	75	46
55	66	60	23
24	74	20	10
47	52	99	83
57	22	84	90
59	36	62	59
63	26	65	77
85	15	47	78
75	15	64	89
41	7	44	72
90	41	15	22
100	48	74	85
2	37	15	93
62	66	69	83
85	57	34	54
20	53	47	88
65	66	64	50
29	51	78	100
94	18	19	62
56	22	3	4
75	100	17	4
85	48	75	35
93	1	84	5
13	36	95	78
67	11	32	3
9	80	14	96
23	47	1	90
77	79	90	84
45	35	13	8
90	51	98	11
50	9	44	58
70	98	88	20
10	10	70	78
77	81	42	70
37	20	8	50
4	67	6	66
66	97	22	86
1	45	14	87
13	100	73	88
75	38	20	28
13	94	99	4
35	88	100	67
71	74	51	17
33	83	4	17
90	24	96	56
89	97	29	56
57	40	32	25
46	54	58	61
16	97	51	63
59	13	26	2
77	57	14	9
75	61	97	48
20	32	29	39
96	48	24	22
50	62	89	19
39	30	2	35
74	2	14	5
2	98	5	52
27	20	57	91
29	71	85	33
90	11	69	51
92	3	75	85
1	14	25	98
21	61	4	93
1	32	88	40
22	28	86	60
1	11	5	66
36	70	90	80
21	91	22	5
78	62	13	25
1	79	58	42
51	48	31	47
79	30	78	51
81	59	96	73
82	70	28	26
48	46	96	31
3	1	25	69
36	3	62	98
44	75	85	76
41	89	95	10
61	29	96	63
77	85	45	30
85	93	74	71
37	60	89	41
38	70	37	100
82	49	45	39
12	56	26	48
6	3	47	51
76	20	18	92
56	99	47	47
27	15	73	7
40	97	53	74
11	43	4	13
63	33	16	50
91	19	95	93
92	96	86	6
25	60	39	72
20	5	62	67
3	64	14	23
65	94	63	15
5	48	37	2
89	9	46	41
89	38	83	16
12	45	58	11
1	51	46	49
21	55	50	8
8	87	79	80
32	40	95	21
89	48	8	80
97	20	20	28
85	63	61	34
95	98	75	4
43	7	1	86
20	76	46	10
21	69	47	89
85	82	81	51
51	61	14	32
18	79	60	40
35	30	7	53
56	71	49	45
53	2	32	93
29	14	67	67
27	41	37	28
43	96	45	19
29	83	64	31
33	93	48	53
12	93	45	81
80	71	24	14
53	31	82	99
6	21	87	84
13	72	2	99
30	91	79	69
87	78	12	72
68	30	98	39
91	51	61	20
76	79	10	92
74	55	8	12
97	34	78	5
58	34	94	83
51	98	42	5
14	18	43	3
87	76	37	37
30	34	19	17
46	56	39	3
56	16	10	17
39	57	38	69
49	21	23	34
67	14	91	33
8	74	100	44
70	23	73	49
58	17	100	43
79	44	87	85
18	85	97	23
48	6	18	6
33	39	26	27
90	77	39	12
54	62	35	40
86	99	76	38
73	82	18	26
1	82	92	59
25	88	59	32
