44	90	51	51
31	14	74	73
43	16	60	18
51	60	93	31
26	18	94	29
81	28	49	28
82	20	3	20
34	92	48	85
81	16	65	15
28	48	85	6
54	46	31	21
86	39	96	45
43	6	20	63
55	91	78	65
73	18	50	53
77	16	96	70
61	35	96	13
84	63	23	15
45	41	97	58
95	95	47	32
4	86	14	54
26	88	84	65
15	41	15	49
31	97	60	87
94	72	15	32
26	7	52	72
38	52	53	72
20	8	13	45
75	16	16	5
34	87	39	95
13	92	40	59
11	50	71	66
14	77	30	96
54	67	82	11
6	14	20	33
68	86	12	13
7	51	38	45
22	5	60	41
72	18	58	57
2	46	45	49
38	91	76	57
9	25	18	80
59	55	29	41
88	65	69	74
70	16	99	12
92	37	78	18
41	12	11	87
100	79	38	23
100	29	49	29
14	85	56	70
47	11	40	92
86	32	100	64
23	16	100	5
30	36	79	19
94	5	73	25
17	10	74	93
95	36	35	47
7	46	27	36
81	58	66	99
15	92	68	51
91	7	27	85
90	64	51	15
11	31	21	93
100	49	53	33
49	47	73	19
78	99	85	81
95	56	86	42
84	9	10	75
95	38	71	87
1	40	72	74
84	35	36	1
37	69	4	61
98	34	99	68
83	95	26	35
79	67	10	57
10	67	79	53
83	28	12	95
56	13	14	17
49	16	28	52
47	19	100	97
10	31	4	9
64	23	18	54
14	50	64	25
64	80	93	64
55	52	58	71
8	49	46	96
67	77	40	80
94	29	95	40
2	51	69	43
19	85	35	28
68	65	19	63
49	47	62	27
25	27	83	21
49	7	72	35
87	16	75	93
14	77	35	63
96	25	47	65
40	32	32	78
27	8	97	40
4	37	22	47
22	88	18	18
3	70	61	33
25	28	74	20
28	72	78	36
81	58	24	9
20	41	57	17
37	46	22	61
23	54	22	6
48	16	51	20
91	48	10	51
73	45	95	22
4	34	69	51
54	40	52	66
78	100	12	58
13	31	83	40
56	52	44	3
22	50	60	9
13	32	74	53
33	26	98	33
11	7	9	51
70	30	60	31
22	70	91	43
95	83	16	62
5	8	53	24
8	31	52	35
79	78	96	38
10	69	24	62
85	44	74	61
27	25	62	47
53	69	19	67
84	83	33	34
40	32	67	23
7	53	53	40
7	35	74	52
45	49	56	7
79	61	62	19
19	47	51	83
86	20	39	39
97	96	73	48
99	43	96	69
15	89	16	45
67	69	41	95
88	46	95	90
96	74	52	34
21	81	86	1
55	28	44	14
78	48	46	40
3	52	82	69
88	14	18	59
88	51	86	70
98	77	84	69
38	14	59	37
39	61	55	19
55	81	74	50
41	46	57	79
57	43	39	34
52	45	48	33
29	67	100	28
59	22	44	78
69	87	72	82
30	2	93	10
67	31	67	93
15	75	93	74
96	88	59	35
52	73	66	35
20	76	41	89
12	75	26	21
89	63	7	10
97	17	56	66
27	23	29	91
8	19	14	98
22	3	70	38
50	52	45	82
47	94	1	15
14	81	3	4
81	28	20	95
43	18	35	60
1	29	53	48
56	1	65	79
96	67	87	44
53	6	51	92
83	57	50	27
16	89	2	63
17	9	41	62
58	72	70	34
27	88	21	32
89	21	93	64
83	78	34	51
87	71	94	77
79	75	32	16
72	19	40	7
79	76	91	31
100	40	68	43
52	13	83	28
41	73	99	59
32	7	39	6
57	39	89	19
62	2	77	35
90	54	31	69
50	70	39	67
74	35	38	28
40	17	80	10
79	52	92	12
88	40	41	57
49	7	25	49
6	10	68	97
22	7	68	61
65	56	75	53
28	40	46	49
99	35	62	37
29	50	59	34
12	75	23	11
45	70	10	11
17	22	10	91
24	58	57	6
63	88	52	69
14	5	2	71
94	77	88	93
44	84	3	55
21	50	9	82
64	63	35	76
52	66	4	56
17	13	28	74
27	18	19	100
25	2	49	40
7	26	83	72
19	52	18	20
36	34	12	26
100	41	19	70
21	39	72	71
33	31	43	87
63	12	53	89
12	96	45	35
5	45	51	24
67	2	60	49
61	62	78	100
67	21	11	67
23	14	9	66
83	62	87	66
40	85	37	17
79	50	43	19
56	95	49	83
80	28	34	88
86	93	72	14
78	69	59	56
54	29	75	92
62	25	55	72
7	75	84	49
20	15	65	80
95	91	11	45
